origem;destino;dist_km;tempo;abast.;abast.lt.;consm.lbs;decea;tx.aerop.;comissaria;fbo;hospedagem;Transporte;slot;outros;comissoes;variável trip.;receita;com.terceiros
SBBH;SBRJ;444,48;0,8;6032,02;1201;1100;759,8;725,89;159,8;700;;;;;180,3757829;266,688;12025,05219;
SBRJ;SBBH;409,292;0,7;;;980;759,8;763,34;;;;;;;0;245,5752;0,01;
SBBH;SBSP;729,688;1,2;7533,75;1500;1590;759,8;730,68;399,5;1400;;;200;;0;437,8128;0,01;
SBSP;SBRJ;366,696;0,7;;;920;900,15;763,42;;800;;;200;;0;220,0176;0,01;
SBRJ;SBBH;442,628;0,7;2545,07;500;1050;759,8;763,34;;;;;;;179,6242171;265,5768;11974,94781;
SBBH;SBGR;653,756;1,1;11551,75;2300;1450;759,8;515,35;319,6;600;;;;;299,0835735;392,2536;19938,9049;
SBGR;SDPA;246,316;0,5;;;670;900,15;1000;;;;;;;112,685879;147,7896;7512,391931;
SDPA;SBBH;385,216;0,7;1506,75;300;980;;763,34;;;;;;;176,2305476;231,1296;11748,70317;
SBBH;SBSP;696,352;1,1;5374,08;1070;1460;759,8;730,68;179,7;2520;1890;;200;174,07;0;417,8112;0,01;
SBSP;SBBH;533,376;0,9;6048,82;721;1200;900,15;763,34;502,805;;;;200;;0;320,0256;0,01;
SBBH;SBRJ;442,628;0,8;5866,28;1168;1060;759,8;725,89;502,805;700;;;;;199,3319502;265,5768;13288,79668;
SBRJ;SBBH;450,036;0,7;;;1070;759,8;763,34;479,3;;;;;;202,6680498;326,5377488;13511,20332;
SBBH;SBMK;424,108;0,7;6278,13;1250;1020;759,8;600,57;159,8;425;;;;;201,4351852;254,4648;13429,01235;
SBMK;SBBH;475,964;0,8;;;1080;403,55;763,34;;;;;;;226,0648148;571,1568;15070,98765;
SBBH;SBRJ;450,036;0,8;2511,25;500;1150;759,8;838,48;;700;;;;;192,2312373;810,0648;12815,41582;
SBRJ;SBBH;463;0,7;2870,83;564;1070;759,8;763,34;;;;;;;197,7687627;833,4;13184,58418;
SBBH;SDSC;540,784;0,8;7182,175;1430;1260;759,8;471,51;;;;;;;3693,825455;973,4112;22988,36364;3400
SDSC;SBBH;477,816;0,7;;;1050;269,34;763,34;;;;;;;3653,674545;860,0688;20311,63636;3400
SBBH;SBMK;411,144;0,7;6559,39;1306;1030;759,8;600,57;439;425;;;;;164,6292135;246,6864;10975,2809;
SBMK;SBSP;1013,044;1,6;;;1840;403,55;730,68;;1400;;;200;;430,6463086;607,8264;28709,75391;
SBSP;SBTV;1066,752;1,5;12777,21;1523;1890;900,15;3852;439;;;;200;;453,4776486;640,0512;30231,84324;
SBTV;SBMK;566,712;0,9;11957;1100;1190;;600,57;;425;;;;;240,9100008;340,0272;16060,66672;
SBMK;SBBH;412,996;0,7;;;980;;763,34;;;;;;;165,3707865;247,7976;11024,7191;
SBBH;SBSP;703,76;1,1;6032,02;1201;1460;759,8;730,68;250;1400;;;200;;330,3120357;422,256;22020,80238;
SBSP;SBBH;537,08;0,8;2693;321;1160;900,15;763,34;;;;;;;0;322,248;0,01;
SBBH;SBRJ;425,96;0,8;4168,68;830;1040;759,8;725,89;179,7;700;;;;;0;255,576;0,01;
SBRJ;SBSP;494,484;0,9;3180,27;530;1180;759,8;730,68;;2520;1312,5;;200;;0;296,6904;0,01;
SBSP;SBBH;542,636;0,9;6208,23;740;1150;900,15;763,34;335,2;;;;;;254,6879643;325,5816;16979,19762;
SBBH;SBTV;642,644;1;8869,735;1766;1370;759,8;3852;565;;;;;;273,1887917;1156,7592;18212,58612;
SBTV;SBGL;937,112;1,4;;;1760;;526,31;;800;;;;;398,3675177;1686,8016;26557,83451;
SBGL;SBBH;442,628;0,8;2703,84;500;1030;900,15;763,34;;;;;;;188,1617326;796,7304;12544,11551;
SBBH;SBRJ;437,072;0,8;6027;1200;1150;759,8;725,89;179,7;700;;;;;185,5645161;786,7296;12370,96774;
SBRJ;SBBH;481,52;0,8;;;1080;759,8;763,34;;;;;;96,1;204,4354839;866,736;13629,03226;
SBBH;SBSP;677,832;1,1;5775,88;1150;1410;759,8;730,68;119,8;1400;;;;;364,8190045;406,6992;24321,26697;
SBSP;SBBH;550,044;0,9;4958,19;591;1200;900,15;763,34;;;;;;;235,1809955;330,0264;15678,73303;
SBBH;SBSP;718,576;1,2;3274,67;652;1550;759,8;730,68;239,6;1880;;35,4;200;96,47;0;431,1456;0,01;
SBSP;SBBH;572,268;0,9;7718,34;920;1370;900,15;763,34;;;;;200;;0;686,7216;0,01;
SBBH;SDPA;364,844;0,6;5524,75;1100;860;759,8;1000;239,6;;;;;;149,8098859;218,9064;9987,325729;
SDPA;SBJH;518,56;1;;;1350;;2559,4;;;;;;;212,9277567;311,136;14195,18378;
SBJH;SBBH;577,824;0,9;6709,5;1050;1790;459,35;763,34;;;;;;;237,2623574;346,6944;15817,49049;
SBBH;SBSP;735,244;1,2;4776,4;951;1610;759,8;730,68;300;1979;;;200;;311,5988372;441,1464;20773,25581;
SBSP;SBBH;538,932;0,9;7911,3;943;1250;900,15;763,34;;;;;;;228,4011628;646,7184;15226,74419;
SBBH;SNLA;1663,096;2,4;8839,77;1720;2650;759,8;;179,7;;2331;9,1;;;930,629478;997,8576;62041,9652;
SNLA;SBMA;159,272;0,4;;;550;;812,92;;;560;58,3;;;89,12487206;95,5632;5941,658137;
SBMA;SBBH;1796,44;2,5;12387,9;1750;2970;;763,34;;;;;;;1005,24565;2155,728;67016,37666;
SBBH;SBSP;720,428;1,1;4029,14;795;1460;;730,68;179,7;1870;1617;148,2;200;;0;432,2568;0,01;
SBSP;SBBH;524,116;0,8;7136,34;830;1200;;763,34;;;;108,4;400;;0;628,9392;0,01;
SBBH;SBTC;748,208;1,1;5159,33;1018;1480;759,8;735,72;300;;;;;;0;448,9248;0,01;
SBTC;SBIL;72,228;0,2;;;310;;1034,58;;;;10,1;;446,05;0;43,3368;0,01;
SBIL;SBTC;70,376;0,2;7390,98;1100;320;322,94;735,72;180;;;50;;446,05;0;126,6768;0,01;
SBTC;SBCF;777,84;1,1;;;1510;;519,53;;;;;;;0;1400,112;0,01;
SBCF;SBBH;48,152;0,1;;;250;900,15;763,34;;;;;;;0;86,6736;0,01;
SBBH;SBGR;609,308;0,9;7348,75;1450;1320;759,8;515,35;460;600;;;;;0;1096,7544;0,01;
SBGR;SBBH;463;0,7;;;1010;900,15;763,34;;;;;;;0;833,4;0,01;
SBBH;SBSP;650,052;1,1;5068,1;1000;1360;759,8;730,68;225;1870;;45;400;;0;390,0312;0,01;
SBSP;SBBH;546,34;0,9;4505,35;524;1160;900,15;763,34;;;;;200;;0;327,804;0,01;
SBBH;SBPS;666,72;1,1;8108,96;1600;1420;759,8;544,21;300;2267,82;;15,9;;;237,9896907;400,032;15865,97938;
SBPS;SBBH;770,432;1,2;;;1530;588,36;763,34;;;;;;;275,0103093;462,2592;18334,02062;
SBBH;SBBP;488,928;0,8;4059,5481;801;1140;759,8;485,99;479,2;;;;;;0;293,3568;0,01;
SBBP;SBJH;120,38;0,3;;;470;322,94;;;2559,4;;;;;0;72,228;0,01;
SBJH;SBFL;522,264;0,8;10224;1600;1270;459,35;693,73;;2910;5301,44;156;;600,64;0;313,3584;0,01;
SBFL;SBSP;490,78;0,8;;;1110;900,15;730,68;428;1870;;47,2;;;0;883,404;0,01;
SBSP;SBBP;174,088;0,4;8864,54;1031;550;900,15;485,99;;450;;;;;0;313,3584;0,01;
SBBP;SBBH;446,332;0,8;;;1010;322,94;763,34;502,8;;;;;;0;803,3976;0,01;
SBBH;SBSP;820,436;1,3;7247,38;1430;1710;759,8;730,68;239,6;1870;;12;200;;318,849096;492,2616;21256,6064;
SBSP;SBBH;511,152;0,8;;;1070;900,15;763,34;;;;;200;;198,650904;306,6912;13243,3936;
SBBH;SBSV;1016,748;1,5;9761,16;1926;1910;759,8;603,1;820;;;;;;567,5472973;1604,693583;37836,48649;
SBSV;SBGL;1298,252;1,9;3854,99;581;2430;759,8;526,31;;800;;;;;724,6824324;2336,8536;48312,16216;
SBGL;SBBH;425,96;0,7;4385,99;800;1040;900,15;763,34;;;;;;;237,7702703;766,728;15851,35135;
SBBH;SBBR;733,392;1,2;8853,97;1747;1600;759,8;507,16;359,4;2333,5;;;;;412,9736905;464,8259155;27531,57937;
SBBR;SNDR;1364,924;1,9;3664,02;600;2460;900,15;;;900;;12;;;768,589924;818,9544;51239,32827;
SNDR;SBPB;285,208;0,5;2886;260;810;;;;;;;;;160,6008796;171,1248;10706,72531;
SBPB;SBBR;1627,908;2,3;19035,3;1779;2790;322,94;507,16;;1600;;47,9;;;916,6764494;1827,908126;61111,76329;
SBBR;SBBH;620,42;1;3822,79;626;1290;900,15;763,34;;;;;;;349,3590564;372,252;23290,60376;
SBBH;SBSP;857,476;1,4;3755,46;741;1730;759,8;730,68;299,3;5082;1386;52,2;200;164,9;0;514,4856;0,01;
SBSP;SBBH;533,376;0,8;8426,04;980;1160;900,15;763,34;;;;81,57;200;89,15;0;320,0256;0,01;
SBBH;SBFL;1101,94;1,6;5220,14;1030;2120;759,8;693,73;750;900;;;;;0;661,164;0,01;
SBFL;SAEZ;1648,28;2,4;9734,09;1293;2820;2079,01;;;;8099,76;823,42;;3233,75;0;988,968;0,01;
SAEZ;SBJH;1570,496;2,2;10945;2192;3080;2263,43;13956,7;;;;;;;0;2826,8928;0,01;
SBJH;SBBH;438,924;1,1;6252,24;956;1360;;763,34;;;;;;;0;790,0632;0,01;
SBBH;SBGL;366,696;0,6;9797,85;1868;1000;759,8;526,31;119,8;3181,81;;;;;6160,985915;220,0176;16732,39437;6000
SBGL;SBCY;1646,428;2,4;1118,7;200;2630;900,15;738,94;;700;736;25;;;7036,901408;987,8568;75126,76056;6000
SBCY;SBGL;1668,652;2,3;13876,22;1526;2790;759,8;526,31;;3392,4;;;;;7052,112676;2002,3824;76140,84507;6000
SBGL;SBMG;1059,344;1,6;8669,93;1550;1910;900,15;675,59;;;;;;;0;1271,2128;0,01;
SBMG;SBBH;1022,304;1,5;6650;950;1950;459,35;763,34;;;;;;;0;613,3824;0,01;
SBBH;SBMK;381,512;0,6;7343,14;1400;890;759,8;600,57;179,7;425;287,75;47;;;172,0649652;228,9072;11470,99768;
SBMK;SBBH;416,7;0,7;;;990;403,55;763,34;;;;;;;187,9350348;250,02;12529,00232;
SBBH;SBRJ;425,96;0,7;4825,49;920;1060;759,8;725,89;179,7;700;;;;;193,3757962;505,3434545;12891,71975;
SBRJ;SBBH;446,332;0,8;1862,21;350;1030;759,8;763,34;;;;;;;202,6242038;535,5984;13508,28025;
SBBH;SBBR;696,352;1,1;9970,94;1901;1470;759,8;507,16;239,6;1185;;;;;356,9620253;417,8112;23797,46835;
SBBR;SBBH;620,42;1;;;1290;900,15;763,34;;;;;;;318,0379747;372,252;21202,53165;
SBBH;SBJH;640,792;1;7343,14;1400;1400;759,8;719;;1840,4;;;;;60;384,4752;4000;
SBJH;SBBH;535,228;0,8;;;1280;459,35;763,34;;;;;;;0;321,1368;0,01;
SBBH;SBRJ;411,144;0,7;3194,27;609;1020;759,8;913,54;239,6;700;418,95;;;303,6;0;740,0592;0,01;
SBRJ;SBBH;429,664;0,7;2889,09;543;1040;759,8;763,34;;;;;;;0;773,3952;0,01;
SBBH;SBPS;659,312;1,1;7343,14;1400;1370;759,8;544,21;179,7;2017,82;;;;;310,0645161;395,5872;20670,96774;
SBPS;SBBH;718,576;1,1;;;1360;588,36;763,34;;;;;;;337,9354839;431,1456;22529,03226;
SBBH;SBCF;59,264;0,2;2098,04;400;300;759,8;519,53;238,5;;1622,37;41,53;;4940,33;0;106,6752;0,01;
SBCF;SULS;2168,692;3;7471,79;1739;3540;2098,6;12392,95;400;;;;;1161,08;0;3903,6456;0,01;
SULS;SBFL;1005,636;1,4;;2037;1870;5489,7;1759,24;;992,91;;;;;0;603,3816;0,01;
SBFL;SBRJ;794,508;1,2;7897,23;1150;1630;;725,89;;733;;;;;0;476,7048;0,01;
SBRJ;SBTV;850,068;1,3;;;1720;759,8;3852;1094,46;;;;;;537,8659794;510,0408;35857,73196;
SBTV;SBBH;766,728;1,2;8522,08;784;1540;;763,34;;;;;;;518,1340206;460,0368;34542,26804;
SBBH;SBTV;642,644;1;8654,42;1650;1340;759,8;3852;479,2;;;;;;281,6231884;385,5864;18774,87923;
SBTV;SBBH;890,812;1,5;;;1820;;763,34;;;;;;;390,3768116;916,2637714;26025,12077;
SBBH;SBTV;714,872;1,1;7201,53;1373;1570;759,8;3852;299,5;;;;;;0;428,9232;0,01;
SBTV;SIRI;320,396;0,6;;;830;;;;2982,5;;;;;173,6431227;192,2376;11576,20818;
SIRI;SBTV;177,792;0,2;13598,1;1563;883;;;;;;;;;96,35687732;106,6752;6423,791822;
SBTV;SBBH;751,912;1,1;;;837;;763,34;;;;;;;0;451,1472;0,01;
SBBH;SBSP;744,504;1,3;9661,47;1842;1570;759,8;730,68;399;1870;;;200;;360,3292683;446,7024;24021,95122;
SBSP;SBIL;1255,656;1,8;2559,61;291;2140;900,15;738,74;100;;;;200;;607,7195122;753,3936;40514,63415;
SBIL;SBBH;840,808;1,2;4737,67;681;1510;322,94;763,34;;;;;;;406,9390244;504,4848;27129,26829;
SBBH;SBIL;777,84;1,1;11563,65;2061;1590;796,42;738,74;319,2;;;;;;376,4634146;466,704;25097,56098;
SBIL;SBGR;1487,156;2,2;3332,3;452;2660;338,5;515,35;;600;;;;;719,7621951;892,2936;47984,14634;
SBGR;SBBH;513,004;0,9;4700,26;768;1120;943,53;763,34;;;;;;;248,2865854;569,1440604;16552,43902;
SBBH;SBTV;627,828;1;10536,89;1878;1330;796,42;3418;478,8;;;;;;0;376,6968;0,01;
SBTV;SBGR;1348,256;1,9;1847,9;170;2350;;515,35;;600;;;;;0;1429,616276;0,01;
SBGR;SBBH;472,26;0,7;4329,04;708;1060;943,53;763,34;;;;;;;0;566,712;0,01;
SBBH;SBTV;629,68;1,1;9257,66;1650;1380;796,42;3418;957,6;;;;;;368,6246673;377,808;24574,97782;
SBTV;SBRJ;996,376;1,5;;;1860;;725,89;;700;;;;;488,35315;597,8256;32556,87666;
SBRJ;SBBH;461,148;0,8;5317,74;942;1110;796,42;763,34;;;;;;;226,0221828;276,6888;15068,14552;
SBBH;SBPS;666,72;1;10377,24;1859;1360;796,42;544,21;638,4;2017,82;;;;;449,8457584;1200,096;29989,71722;
SBPS;SBBH;774,136;1,2;;;1510;616,72;763,34;;;;;;;348,1542416;1393,4448;23210,28278;
SBBH;SBTV;631,532;1;9255,22;1658;1290;796,42;3418;;;;;;;0;1136,7576;0,01;
SBTV;SBBH;720,428;1,1;5826,32;536;1520;;763,34;;;;;;;0;1296,7704;0,01;
SBBH;SBTV;629,68;1;6983,28;1251;1320;796,42;3418;599;;;;;;0;377,808;0,01;
SBTV;SBJH;1511,232;2,2;;;2720;;773;;2250;;;;;0;906,7392;0,01;
SBJH;SSBZ;548,192;0,9;7634;1100;1110;481,49;1940;;;;;;;431,107078;328,9152;28740,47187;
SSBZ;SBBH;472,26;0,8;3556;400;1080;;763,34;;;;;;;371,392922;283,356;24759,52813;
SBBH;SBUL;563,008;0,9;9360;1683;1290;796,42;629,14;239,6;860;520;;;;217,1428571;337,8048;14476,19048;
SBUL;SBBH;448,184;0,7;;;1010;796,42;763,34;;;;;;;172,8571429;300,9235428;11523,80952;
SBBH;SBPS;642,644;1;7786,1;1400;1320;796,42;544,21;240;2017,82;;;;;331,6579974;385,5864;22110,53316;
SBPS;SBBH;781,544;1,2;;;1510;616,72;763,34;;;;;;;403,3420026;468,9264;26889,46684;
SBBH;SBTV;648,2;1;5122,14;921;1300;796,42;3418;800;;;;;;517,734057;388,92;34515,6038;
SBTV;SBBH;716,724;1,1;7717,7;710;1450;;763,34;;;;;;;340,265943;430,0344;22684,3962;
SBBH;SBGR;546,34;0,9;8231,02;1480;1230;796,42;515,35;400;1100;;;;;292,4213287;327,804;19494,75524;
SBGR;SBBH;513,004;0,8;;;1110;943,53;763,34;;;;;;;274,5786713;307,8024;18305,24476;
SBBH;SBRJ;405,588;0,7;5561,5;1000;1010;796,42;725,89;1800;;700;;;234,02;220,752;243,3528;14716,8;
SBRJ;SBVT;444,48;0,7;;;1040;796,42;723,09;;2098;997,5;;;;241,92;266,688;16128;
SBVT;SBDN;1253,804;1,8;11519,62;1400;2280;796,42;593,49;;;;;;;682,416;2256,8472;45494,4;
SBDN;SBMG;192,608;0,4;;;600;616,72;741,51;;;;;;;0;346,6944;0,01;
SBMG;SBDN;181,496;0,4;11887,2;1651;580;481,49;593,49;;;;;;;0;326,6928;0,01;
SBDN;SBRJ;914,888;1,4;;;1770;616,72;725,89;;;700;;;;497,952;1646,7984;33196,8;
SBRJ;SBBH;453,74;0,8;;800;1050;796,42;763,34;;;;;;;246,96;816,732;16464;
SBBH;SBIP;181,496;0,4;3342,4615;601;590;796,42;774,2;400;;578,02;120;;;168;108,8976;11200;
SBIP;SBBH;181,496;0,4;;;580;;763,34;;;;;;;168;108,8976;11200;
SBBH;SBSP;687,092;1,1;7174,335;1290;1490;796,42;765,45;259,2;1870;;;500;;329,0237571;412,2552;21934,91714;
SBSP;SNDV;463;0,7;;520;990;943,53;435,43;;;;;;;221,714122;277,8;14780,94147;
SNDV;SBBH;135,196;0,3;;;440;;763,34;;;;;;;64,74052362;81,1176;4316,034908;
SBBH;SBTV;668,572;1;4171,13;750;1360;796,42;3418;;;;;;;320,1551922;401,1432;21343,67948;
SBTV;SBBH;661,164;1;7543,78;694;1320;;763,34;;;;;;;579,1077662;396,6984;38607,18441;
SBBH;SBTV;659,312;0,9;8620,325;1550;1320;796,42;3418;518,4;;;;;;315,7209097;1186,7616;21048,06065;
SBTV;SBBH;735,244;1,1;;;1520;;763,34;;;;;;;352,0820257;1323,4392;23472,13505;
SBBH;SNDV;166,68;0,3;6284,495;1130;550;796,42;;;;;;;;79,81708392;300,024;5321,138928;
SNDV;SBSP;516,708;0,9;;;1080;;765,45;;2080;;;500;;247,4329602;930,0744;16495,53068;
SBSP;SBBH;559,304;0,9;6549,03;709;1200;943,53;763,34;;;;;;;267,8306594;1006,7472;17855,37729;
SBBH;SBTV;638,94;1;8731,56;1570;1370;796,42;3418;355;;;;;;312,1648794;383,364;20810,99196;
SBTV;SBBH;742,652;1,2;;;1420;;763,34;;;;;;;362,8351206;445,5912;24189,00804;
SBBH;SBGR;583,38;1;7841,72;1410;1260;796,42;515,35;259,2;1100;;;;;298,8461538;398,3077242;19923,07692;
SBGR;SBBH;500,04;0,7;;;1100;943,53;763,34;;;;;;;256,1538462;300,024;17076,92308;
SBBH;SBTV;661,164;1;9057,03;1501;1330;796,42;3418;400;;;;;;322,5094103;1190,0952;21500,62735;
SBTV;SBBH;814,88;1,3;;;1500;;763,34;;;;;;;397,4905897;1466,784;26499,37265;
SBBH;SBSV;953,78;1,4;12170,58;2017;1830;796,42;607,78;550;800;;;;;510,8255119;572,268;34055,03413;
SBSV;SBFL;2163,136;2,9;7627,24;1083;3450;796,42;693,73;;730;;;;;1158,532423;1609,373184;77235,49488;
SBFL;SBRJ;790,804;1,3;10878,88;1417;1560;943,53;725,89;;700;;;;;423,5388225;948,9648;28235,9215;
SBRJ;SBBH;433,368;0,7;1721,89;286;1060;796,42;763,34;;;;;;;232,1032423;520,0416;15473,54949;
SBBH;SBJH;668,572;1,1;6094,34;1010;1340;796,42;773;400;2250;1120;146;;;379,2939189;401,1432;25286,26126;
SBJH;SBBH;564,86;0,9;2285,9;385;1220;481,49;763,34;;;;;;;320,4560811;338,916;21363,73874;
SBBH;SBBR;696,352;1,1;9382,887;1555;1470;796,42;507,16;;860;;;;;344,8369565;835,6224;22989,13043;
SBBR;SBBH;666,72;1;;;1400;943,53;763,34;;;;;;;330,1630435;800,064;22010,86957;
SBBH;SBGR;646,348;1,1;8676,26;1451;1370;796,42;515,35;200;1220;;;;;271,6273585;387,8088;18108,49057;
SBGR;SBBH;531,524;0,8;;;1170;943,53;763,34;;;;;;;223,3726415;318,9144;14891,50943;
SBBH;SBGR;546,34;0,9;9336,18;1561;1210;796,42;3301,99;;1220;882;;;;0;983,412;0,01;
SBGR;SBBH;516,708;0,8;;;1220;943,53;763,34;;;;;;;0;930,0744;0,01;
SBBH;SBRJ;420,404;0,8;5507,12;921;1030;796,42;800,95;;700;;;;;993,9584937;252,2424;15437,89958;774
SBRJ;SBBH;464,852;0,7;1486,58;200;1080;796,42;763,34;;;;;;;1018,441506;278,9112;17070,10042;774
SBBH;SBIP;216,684;0,4;4976,11;832;605;796,42;;259,2;;;;;;0;130,0104;0,01;
SBIP;SBBH;216,684;0,5;;;605;;763,34;;;;;;;0;232,1614286;0,01;
SBBH;SBMK;438,924;0,7;6519,18;1090;1020;514,1;629,14;200;425;550,2;;;;191,7303371;263,3544;12782,02247;
SBMK;SBBH;385,216;0,6;;;1000;423;763,34;;;;;;;168,2696629;231,1296;11217,97753;
SBBH;SBSP;672,276;1,2;4706,97;787;1460;796,42;765,45;259,2;2080;1182,82;;1000;180,23;0;403,3656;0,01;
SBSP;SBBH;583,38;0,8;5852,79;900;1460;943,53;763,34;;;;;250;;0;700,056;0,01;
SBBH;SBCB;420,404;0,7;8373,26;1400;1000;796,42;596,63;;;;;;;145,8244111;756,7272;9721,627409;
SBCB;SBBH;444,48;0,7;;;1030;481,49;763,34;;;;;;;154,1755889;800,064;10278,37259;
SBBH;SNDV;159,272;0,3;4724,91;790;520;796,42;472,58;400;;;;;;98,15217391;95,5632;6543,478261;
SNDV;SDRS;298,172;0,5;4849,5;530;730;;;;;;;;;183,75;178,9032;12250;
SDRS;SNDV;274,096;0,5;;;720;;472,58;;;;;;;168,9130435;208,31296;11260,86957;
SNDV;SBBH;120,38;0,3;;;440;;763,34;;;;;;;74,18478261;144,456;4945,652174;
SBBH;SBVG;298,172;0,5;4904,34;820;810;796,42;336,08;259,2;;;;;;217,5;178,9032;14500;
SBVG;SSOL;90,748;0,2;;;360;423;;;;;61,77;;;66,19565217;54,4488;4413,043478;
SSOL;SBBH;207,424;0,4;;;610;;763,34;;;;;;;151,3043478;124,4544;10086,95652;
SBBH;SBSP;740,8;1,2;6124,44;1024;1560;796,42;765,45;11;2900;1050;;250;;0;444,48;0,01;
SBSP;SBBH;563,008;0,9;5436,59;836;1300;943,53;763,34;;;;;250;;0;675,6096;0,01;
SBBH;SBRJ;507,448;0,9;3468,92;580;1330;796,42;725,89;259,2;1120;;;;;0;304,4688;0,01;
SBRJ;SBBH;453,74;0,8;4816,46;800;1120;796,42;763,34;;;;;;;0;272,244;0,01;
SBBH;SBCF;118,528;0,3;8479;1501;490;796,42;519,53;1082,22;2915;;120;;;3033,091397;142,2336;5206,093162;3000
SBCF;SBSV;1003,784;1,4;1219,37;150;2040;943,53;664,91;;800;;;;;3616,336522;1617,726307;44089,10147;3000
SBSV;SBRJ;1316,772;1,8;8490,48;1199;2560;796,42;725,89;541,2;1120;;;;;3822,546618;2370,1896;57836,44122;3000
SBRJ;SBBH;442,628;0,7;4797,61;833;1040;796,42;763,34;;;;;;;3246,622562;796,7304;19441,50415;3000
SBBH;SBSV;963,04;1,4;10201,91;1806;1860;796,42;607,78;626;800;;;;;520,8603574;577,824;34724,02383;
SBSV;SBRJ;1389;2;3128,9;467;2520;796,42;1213,78;;1120;1257,9;;;;751,2409001;833,4;50082,72667;
SBRJ;SBBH;446,332;0,8;5189,26;901;1050;796,42;763,34;;;;;;;241,3987426;267,7992;16093,2495;
SBBH;SBRJ;422,256;0,7;3592,7;636;970;796,42;725,89;259,2;1120;;;;;189,4532374;253,3536;12630,21583;
SBRJ;SBGL;144,456;0,4;;;570;796,42;646,21;;900;1375,92;62,76;;;64,81294964;86,6736;4320,863309;
SBGL;SBRJ;16,668;0,1;5998,8;1000;200;943,53;725,89;;1145;;;;;7,478417266;30,0024;498,5611511;
SBRJ;SBBH;446,332;0,7;;;1040;796,42;763,34;;;;;;;200,2553957;803,3976;13350,35971;
SBMG;SBBH;950,076;1,4;2250;300;2020;481,49;1504,85;;;;375;;474,1;0;570,0456;0,01;
SBBH;SBBR;725,984;1,1;5733,63;1015;1460;796,42;507,16;386;1379,4;;;;;380,0541761;435,5904;25336,94507;
SBBR;SBTV;1014,896;1,5;7427,29;1100;1910;943,53;2760;1114,64;;;360;;;531,3002257;608,9376;35420,01505;
SBBH;SBSP;709,316;1,1;4406,14;780;1520;796,42;765,45;600;2900;1459,5;;;462,54;0;425,5896;0,01;
SBTV;SBBH;720,428;1,1;5935,02;546;1440;;763,34;830;;;;;;377,1455982;514,8941294;25143,03988;
SBSP;SBBH;533,376;0,8;5290,35;850;1150;943,53;763,34;;;;;;;0;640,0512;0,01;
SBBH;SBRJ;400,032;0,7;4185,83;741;970;796,42;800,95;518,4;1120;;;;;0;720,0576;0,01;
SBRJ;SBBH;442,628;0,7;3213,77;558;1010;796,42;763,34;;;;;;;0;796,7304;0,01;
SBBH;SBRJ;461,148;0,9;3728,27;660;1130;796,42;725,89;845,2;1120;;;;;0;276,6888;0,01;
SBRJ;SNDV;433,368;0,7;10079,02;1750;1070;796,42;472,58;;;;;;;0;260,0208;0,01;
SNDV;SBTV;750,06;1,1;;;1440;;2760;586;;;;;;477,8089888;450,036;31853,93258;
SBTV;SBRJ;946,372;1,3;4326,26;398;1580;;725,89;;1120;;;;;0;567,8232;0,01;
SBRJ;SBBH;442,628;0,8;5010,71;870;1060;796,42;763,34;;;;;;;0;265,5768;0,01;
SBBH;SBBR;792,656;1,1;9812,14;1737;1650;796,42;507,16;518,4;1188,63;;;;;3458,77911;601,0974667;32271,94067;3020
SBBR;SNSS;637,088;1;3653,77;580;1410;943,53;;;;380;118;;;3363,77293;382,2528;25938,1953;3020
SNSS;SBBH;485,224;0,8;;;1170;;763,34;;;;;;;3271,028801;291,1344;19755,2534;3020
SBBH;SBGR;572,268;0,9;8473,35;1500;1240;796,42;515,35;259,2;720;;;;;3324,187021;343,3608;23299,13473;3020
SBGR;SBBH;509,3;0,8;;;1080;943,53;763,34;;;;;;;3285,732138;611,16;20735,4759;3020
SBBH;SBTV;646,348;1;9676,57;1713;1340;796,42;2760;586;;;;;;411,741573;387,8088;27449,4382;
SBTV;SNDV;794,508;1,2;;;1480;;472,58;;;;;;;506,1235955;476,7048;33741,57303;
SNDV;SBBH;116,676;0,3;;;420;;763,34;;;;;;;74,3258427;70,0056;4955,05618;
SBBH;SBRP;500,04;0,8;6535,78;1157;1150;796,42;593,48;586;800;;;;;276,9428571;900,072;18462,85714;
SBRP;SBBH;472,26;0,9;;;940;796,42;763,34;;;;;;;261,5571429;850,068;17437,14286;
SBBH;SBIP;170,384;0,3;4818,51;853;530;796,42;865,52;259,2;;541,78;50;;;135,5357143;102,2304;9035,714286;
SBIP;SBBH;244,464;0,5;;;690;;798,15;;;;37,64;;;194,4642857;146,6784;12964,28571;
SBBH;SNDV;164,828;0,3;7174,1;1270;560;796,42;472,58;586;;;;;;77,63590392;98,8968;5175,726928;
SNDV;SBJH;572,268;1;;;1180;;773;;6813;3339;109,94;;;269,5448799;343,3608;17969,65866;
SBJH;SNDV;614,864;1;5632;800;1330;481,49;472,58;;;;110;;;289,608091;1106,7552;19307,20607;
SNDV;SBBH;112,972;0,3;;;410;;798,15;;;;;;;53,21112516;203,3496;3547,408344;
SBBH;SBRF;1668,652;2,4;7380,17;1420;2830;796,42;754,12;800;794;928,2;;;;630,1563357;1001,1912;42010,42238;
SBRF;SBBH;1707,544;2,5;10108,5;1758;3040;796,42;798,15;;;;;;;644,8436643;2049,0528;42989,57762;
SBBH;SBBR;722,28;1,1;10285,46;1979;1610;796,42;507,16;705;1227,56;;;;;518,630137;866,736;34575,34247;
