origem;destino;dist_km;tempo;abast.;abast.lt.;consm.lbs;decea;tx.aerop.;comissaria;fbo;hospedagem;Transporte;slot;outros;comissoes;variável trip.;receita;com.terceiros
SDPA;SBBH;455,592;0,7;;;1060;;763,34;;;;;;;0;820,0656;0,01;
SBBH;SBUL;620,42;0,8;7813,76;1450;1350;759,8;600,57;179,7;700;;;;;307,3368049;1116,756;20489,12033;
SBUL;SBBH;459,296;0,8;;;980;759,8;763,34;;;;;;;194,2075451;826,7328;12947,16967;
SBBH;SBGL;368,548;0,6;6162,95;1150;900;759,8;504,24;75;800;;;;;157,8605769;294,8384;10524,03846;
SBGL;SBBH;401,884;0,6;;;980;900,15;763,34;;;;;;;172,1394231;241,1304;11475,96154;
SBBH;SBIP;177,792;0,4;3638,82;679;530;759,8;;600;;242,05;100;;;117,2389381;106,6752;7815,929204;
SBIP;SBBH;240,76;0,5;;;700;;763,34;;;242,05;;;;158,7610619;144,456;10584,0708;
SBBH;SBGV;255,576;0,5;4823,18;900;720;759,8;;119,8;545;350;;;;188,0769242;153,3456;12538,46162;
SBGV;SBBH;294,468;0,5;;;850;403,55;763,34;;;;;;;216,6973258;353,3616;14446,48838;
SBBH;SBMK;409,292;0,6;9437,35;1761;930;759,8;600,57;359,4;425;;;;;1514,440778;245,5752;11218,27411;1366,666667
SBMK;SNGI;370,4;0,7;1551,05;170;1100;403,55;;;;;;;;1498,450931;444,48;10152,28426;1366,666667
SNGI;SBBH;679,684;1;;;1320;;763,34;;;;;;;1625,608291;815,6208;18629,44162;1366,666667
SBBH;SNSS;472,26;0,7;6436,27;1201;1000;759,8;;375;;;;;;3268,006772;283,356;17512,64591;3051,083333
SNSS;SBCF;431,516;0,7;;;980;;519,53;;;;;;;3245,343348;258,9096;16001,75097;3051,083333
SBCF;SBBH;48,152;0,1;;;230;900,15;763,34;;;;;;;3032,10113;28,8912;1785,603113;3051,083333
SBBH;SBUL;600,048;0,9;8842,5;1650;1250;759,8;600,57;175;700;;;;;199,6593186;360,0288;13310,62124;
SBUL;SBGO;324,1;0,5;;;820;759,8;668;119,8;800;;;;;107,8406814;194,46;7189,378758;
SBGO;SBGR;931,556;1,4;7491,99;1160;1760;759,8;502,32;;600;;;;300;436,407455;868,7040289;29093,83033;
SBGR;SBBH;509,3;0,8;;;1050;900,15;763,34;;;;;;;261,092545;611,16;17406,16967;
SBBH;SBMK;414,848;0,6;5573,35;1040;970;759,8;600,57;160;425;;;;;176,516129;248,9088;11767,74194;
SBMK;SBBH;400,032;0,7;;;920;403,55;763,34;658,9;;;;;;284,3265306;240,0192;18955,10204;1251,685
SBBH;SBMK;422,256;0,7;5900,37;1101;1010;759,8;600,57;299,5;425;;;;;152,3385301;253,3536;10155,902;
SBMK;SBBH;388,92;0,6;;;950;403,55;763,34;;;;;;;165,483871;233,352;11032,25806;
SBBH;SBMK;416,7;0,7;5627,04;1050;1010;759,8;600,57;479,2;425;;;;;296,1734694;500,04;19744,89796;1251,685
SBMK;SBBH;398,18;0,7;;;940;403,55;763,34;;;;;;;139,8795181;477,816;9325,301205;
SBBH;SBPL;1298,252;1,8;9501,67;1773;2370;759,8;586,82;;;;;;;456,0722892;1557,9024;30404,81928;
SBPL;SBJU;305,58;0,5;;;820;403,55;855,22;232;;690;100;;;107,3493976;366,696;7156,626506;
SBJU;SBPL;290,764;0,5;13235,65;1430;750;403,55;586,82;;;;;;;102,1445783;174,4584;6809,638554;
SBPL;SBPS;851,92;1,3;4190,1;454;1660;403,55;544,21;;2017,82;;;;;299,2771084;511,152;19951,80723;
SBPS;SBMK;544,488;0,8;;;1030;588,36;600,57;;425;;;;;191,2771084;326,6928;12751,80723;
SBMK;SBBH;409,292;0,7;10118,29;1109;1020;403,55;763,34;;;;;;;147,6614699;245,5752;9844,097996;
SBBH;SDAM;555,6;0,9;3060,04;571;1330;759,8;;700;;;;;;0;333,36;0,01;
SDAM;SBJD;83,34;0,2;13024,8;1608;320;;485,99;;;;;;;0;50,004;0,01;
SBJD;SBNF;598,196;1;;;1310;588,36;668;;2325;1980;66,83;;1290,41;0;717,8352;0,01;
SBNF;SDAM;546,34;0,9;11453,43;1330;1170;588,36;485,99;;;;;;;0;983,412;0,01;
SDAM;SBBH;527,82;0,8;;;1200;;763,34;;;;;;;0;950,076;0,01;
SBBH;SSBZ;425,96;0,7;6778,94;1220;1010;759,8;1725;299,5;;;;;;164,59375;255,576;10972,91667;
SSBZ;SBSP;640,792;1;;;1270;;730,68;;1913,6;;;;;94,32843984;384,4752;6288,562656;
SBSP;SBBH;533,376;0,8;5492,89;910;1190;900,15;763,34;920;;;;;;59,78783432;320,0256;3985,855621;
SBBH;SBKG;1679,764;2,3;8890,41;1600;2770;759,8;1201,39;239,6;;1050;53,84;;;188,2901588;1007,8584;12552,67725;
SBKG;SBRF;166,68;0,4;2697;300;550;403,55;719,86;542,36;722;396,9;53,85;;;18,68369822;100,008;1245,579882;
